,Area Unit,ANZSOC Division,Year,Region,Victimisations
175,Akina.,Acts Intended to Cause Injury,2023,Hawke Region,1
176,Marewa.,Acts Intended to Cause Injury,2023,Hawke Region,1
177,Mclean Park.,Acts Intended to Cause Injury,2023,Hawke Region,1
178,Onekawa South.,Acts Intended to Cause Injury,2023,Hawke Region,1
179,Marewa.,Acts Intended to Cause Injury,2023,Hawke Region,1
180,Wairoa.,Acts Intended to Cause Injury,2023,Hawke Region,1
181,Marewa.,Acts Intended to Cause Injury,2023,Hawke Region,1
182,Maraenui.,Acts Intended to Cause Injury,2023,Hawke Region,1
183,Mayfair.,Acts Intended to Cause Injury,2023,Hawke Region,1
184,Mayfair.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
185,Bluff Hill.,Theft and Related Offences,2023,Hawke Region,1
186,Akina.,Theft and Related Offences,2023,Hawke Region,1
187,Camberley.,Theft and Related Offences,2023,Hawke Region,1
188,Nelson Park.,Theft and Related Offences,2023,Hawke Region,1
189,Taradale South.,Theft and Related Offences,2023,Hawke Region,1
190,Flaxmere East.,Theft and Related Offences,2023,Hawke Region,1
191,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
192,Nelson Park.,Theft and Related Offences,2023,Hawke Region,1
193,Nelson Park.,Theft and Related Offences,2023,Hawke Region,1
194,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
195,Te Mata.,Theft and Related Offences,2023,Hawke Region,1
196,Mclean Park.,Theft and Related Offences,2023,Hawke Region,1
197,Tamatea North.,Theft and Related Offences,2023,Hawke Region,1
198,Woolwich.,Theft and Related Offences,2023,Hawke Region,1
199,Nelson Park.,Theft and Related Offences,2023,Hawke Region,1
200,Hastings Central.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
201,Puketitiri.,"Robbery, Extortion and Related Offences",2023,Hawke Region,2
202,Iona.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
203,Hastings Central.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
204,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
205,Mayfair.,Theft and Related Offences,2023,Hawke Region,1
206,Greenmeadows.,Theft and Related Offences,2023,Hawke Region,1
207,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
208,Twyford.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
209,Onekawa West.,Theft and Related Offences,2023,Hawke Region,2
210,Akina.,Theft and Related Offences,2023,Hawke Region,1
211,Akina.,Theft and Related Offences,2023,Hawke Region,1
212,Eskdale.,Theft and Related Offences,2023,Hawke Region,1
213,Mclean Park.,Theft and Related Offences,2023,Hawke Region,1
214,Flaxmere East.,Acts Intended to Cause Injury,2023,Hawke Region,1
215,Marewa.,Acts Intended to Cause Injury,2023,Hawke Region,1
216,Waipukurau.,Acts Intended to Cause Injury,2023,Hawke Region,1
217,Twyford.,Acts Intended to Cause Injury,2023,Hawke Region,2
218,Havelock North Central.,Acts Intended to Cause Injury,2023,Hawke Region,2
219,Pirimai.,Acts Intended to Cause Injury,2023,Hawke Region,3
220,Hastings Central.,Acts Intended to Cause Injury,2023,Hawke Region,1
221,Bridge Pa.,Acts Intended to Cause Injury,2023,Hawke Region,1
222,Waiohiki.,Acts Intended to Cause Injury,2023,Hawke Region,1
223,Waipawa.,Acts Intended to Cause Injury,2023,Hawke Region,1
224,Taradale North.,Acts Intended to Cause Injury,2023,Hawke Region,1
225,Akina.,Acts Intended to Cause Injury,2023,Hawke Region,1
226,Wairoa.,Acts Intended to Cause Injury,2023,Hawke Region,1
227,Camberley.,Acts Intended to Cause Injury,2023,Hawke Region,1
228,Whakatu.,Acts Intended to Cause Injury,2023,Hawke Region,1
229,Puketitiri.,Acts Intended to Cause Injury,2023,Hawke Region,1
230,St Leonards.,Acts Intended to Cause Injury,2023,Hawke Region,2
231,Mclean Park.,Acts Intended to Cause Injury,2023,Hawke Region,1
232,Tamatea South.,Acts Intended to Cause Injury,2023,Hawke Region,1
233,Meeanee.,Acts Intended to Cause Injury,2023,Hawke Region,1
234,Bluff Hill.,Acts Intended to Cause Injury,2023,Hawke Region,1
235,Porangahau.,Acts Intended to Cause Injury,2023,Hawke Region,1
236,St Leonards.,Acts Intended to Cause Injury,2023,Hawke Region,1
237,Onekawa South.,Acts Intended to Cause Injury,2023,Hawke Region,1
238,Camberley.,Acts Intended to Cause Injury,2023,Hawke Region,1
239,Hastings Central.,Acts Intended to Cause Injury,2023,Hawke Region,1
240,Bridge Pa.,Acts Intended to Cause Injury,2023,Hawke Region,1
241,Camberley.,Acts Intended to Cause Injury,2023,Hawke Region,1
242,Twyford.,Acts Intended to Cause Injury,2023,Hawke Region,1
243,Bluff Hill.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
244,Maraenui.,Theft and Related Offences,2023,Hawke Region,1
245,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
246,St Leonards.,Theft and Related Offences,2023,Hawke Region,1
247,Clive.,Theft and Related Offences,2023,Hawke Region,1
248,Raureka.,Theft and Related Offences,2023,Hawke Region,1
249,Frimley.,Theft and Related Offences,2023,Hawke Region,1
250,Hastings Central.,Theft and Related Offences,2023,Hawke Region,1
251,Taradale North.,Theft and Related Offences,2023,Hawke Region,1
252,Raureka.,Theft and Related Offences,2023,Hawke Region,1
253,Frimley.,Theft and Related Offences,2023,Hawke Region,1
254,Iona.,Acts Intended to Cause Injury,2023,Hawke Region,1
255,Elsthorpe-Flemington.,Acts Intended to Cause Injury,2023,Hawke Region,1
256,Hastings Central.,Acts Intended to Cause Injury,2023,Hawke Region,1
257,Nelson Park.,Acts Intended to Cause Injury,2023,Hawke Region,2
258,Taradale North.,Acts Intended to Cause Injury,2023,Hawke Region,3
259,Hospital Hill.,Acts Intended to Cause Injury,2023,Hawke Region,3
260,Nelson Park.,Acts Intended to Cause Injury,2023,Hawke Region,1
261,Akina.,Acts Intended to Cause Injury,2023,Hawke Region,1
262,Akina.,Acts Intended to Cause Injury,2023,Hawke Region,1
263,Hastings Central.,Acts Intended to Cause Injury,2023,Hawke Region,1
264,Westshore.,Acts Intended to Cause Injury,2023,Hawke Region,1
265,Whakaki.,"Robbery, Extortion and Related Offences",2023,Hawke Region,1
266,Tamatea South.,Sexual Assault and Related Offences,2023,Hawke Region,1
267,Flaxmere East.,Sexual Assault and Related Offences,2023,Hawke Region,1
268,Raupunga.,Sexual Assault and Related Offences,2023,Hawke Region,1
269,Bluff Hill.,Sexual Assault and Related Offences,2023,Hawke Region,1
270,St Leonards.,Sexual Assault and Related Offences,2023,Hawke Region,1
271,Hastings Central.,Sexual Assault and Related Offences,2023,Hawke Region,1
272,Bridge Pa.,Sexual Assault and Related Offences,2023,Hawke Region,1
273,Waipukurau.,Sexual Assault and Related Offences,2023,Hawke Region,1
274,Puketitiri.,Sexual Assault and Related Offences,2023,Hawke Region,1
275,Onekawa West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
276,Flaxmere East.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
277,St Leonards.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
278,Ahuriri.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Hawke Region,1
