,Area Unit,ANZSOC Division,Year,Region,Victimisations
356,Titahi Bay South.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
357,Paraparaumu Central.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
358,Willis Street-Cambridge Terrace.,Theft and Related Offences,2023,Wellington Region,1
359,Willis Street-Cambridge Terrace.,Acts Intended to Cause Injury,2023,Wellington Region,1
360,Willis Street-Cambridge Terrace.,Acts Intended to Cause Injury,2023,Wellington Region,1
361,Willis Street-Cambridge Terrace.,Acts Intended to Cause Injury,2023,Wellington Region,1
362,Willis Street-Cambridge Terrace.,Acts Intended to Cause Injury,2023,Wellington Region,1
363,Waiwhetu North.,Acts Intended to Cause Injury,2023,Wellington Region,1
364,Karori East.,Acts Intended to Cause Injury,2023,Wellington Region,2
365,Avalon East.,Acts Intended to Cause Injury,2023,Wellington Region,1
366,Lansdowne.,Acts Intended to Cause Injury,2023,Wellington Region,1
367,Masterton Central.,Theft and Related Offences,2023,Wellington Region,1
368,Solway North.,Theft and Related Offences,2023,Wellington Region,1
369,Solway North.,Theft and Related Offences,2023,Wellington Region,1
370,Solway North.,Theft and Related Offences,2023,Wellington Region,1
371,Solway South.,Theft and Related Offences,2023,Wellington Region,1
372,Solway South.,Theft and Related Offences,2023,Wellington Region,1
373,Solway South.,Theft and Related Offences,2023,Wellington Region,1
374,Solway South.,Theft and Related Offences,2023,Wellington Region,1
375,Martinborough.,Theft and Related Offences,2023,Wellington Region,1
376,Emerald Hill.,Theft and Related Offences,2023,Wellington Region,1
377,Hataitai North.,Theft and Related Offences,2023,Wellington Region,1
378,Ngauranga West.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
379,Korokoro.,"Robbery, Extortion and Related Offences",2023,Wellington Region,1
380,Ebdentown.,"Robbery, Extortion and Related Offences",2023,Wellington Region,2
381,Masterton Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
382,Upper Hutt Central.,Acts Intended to Cause Injury,2023,Wellington Region,1
383,Trentham North.,Acts Intended to Cause Injury,2023,Wellington Region,1
384,Avalon West.,Acts Intended to Cause Injury,2023,Wellington Region,1
