,Area Unit,ANZSOC Division,Year,Region,Victimisations
119,Bell Block.,Acts Intended to Cause Injury,2023,Taranaki Region,2
120,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,4
121,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
122,Kapuni.,Acts Intended to Cause Injury,2023,Taranaki Region,1
123,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
124,Moturoa.,Acts Intended to Cause Injury,2023,Taranaki Region,1
125,Waitara West.,Acts Intended to Cause Injury,2023,Taranaki Region,1
126,Westown.,Acts Intended to Cause Injury,2023,Taranaki Region,1
127,Mount Bryan.,Acts Intended to Cause Injury,2023,Taranaki Region,1
128,Hawera North.,Acts Intended to Cause Injury,2023,Taranaki Region,1
129,Hawera North.,Acts Intended to Cause Injury,2023,Taranaki Region,1
130,Kahui.,Acts Intended to Cause Injury,2023,Taranaki Region,1
131,Highlands Park.,Acts Intended to Cause Injury,2023,Taranaki Region,1
132,Glen Avon.,Acts Intended to Cause Injury,2023,Taranaki Region,1
133,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
134,Marsland Hill.,Acts Intended to Cause Injury,2023,Taranaki Region,1
135,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
136,Eltham.,Acts Intended to Cause Injury,2023,Taranaki Region,1
137,Stratford West.,Acts Intended to Cause Injury,2023,Taranaki Region,1
138,Struan Park.,Acts Intended to Cause Injury,2023,Taranaki Region,1
139,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
140,Inglewood.,Acts Intended to Cause Injury,2023,Taranaki Region,1
141,Westown.,Acts Intended to Cause Injury,2023,Taranaki Region,1
142,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
143,Hawera North.,Acts Intended to Cause Injury,2023,Taranaki Region,1
144,Marsland Hill.,Acts Intended to Cause Injury,2023,Taranaki Region,1
145,Kahui.,Acts Intended to Cause Injury,2023,Taranaki Region,1
146,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
147,Waitara West.,Acts Intended to Cause Injury,2023,Taranaki Region,1
148,Fitzroy.,Acts Intended to Cause Injury,2023,Taranaki Region,1
149,Spotswood.,Acts Intended to Cause Injury,2023,Taranaki Region,1
150,Hawera North.,Acts Intended to Cause Injury,2023,Taranaki Region,1
151,Marfell.,Acts Intended to Cause Injury,2023,Taranaki Region,1
152,Waitara East.,Acts Intended to Cause Injury,2023,Taranaki Region,1
153,Patea.,Acts Intended to Cause Injury,2023,Taranaki Region,1
154,Hawera South.,Acts Intended to Cause Injury,2023,Taranaki Region,1
155,Kaitake.,Acts Intended to Cause Injury,2023,Taranaki Region,1
156,Welbourn.,Acts Intended to Cause Injury,2023,Taranaki Region,1
157,Stratford West.,Acts Intended to Cause Injury,2023,Taranaki Region,2
158,Normanby.,Acts Intended to Cause Injury,2023,Taranaki Region,1
159,Opunake.,Acts Intended to Cause Injury,2023,Taranaki Region,1
160,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
161,Spotswood.,Acts Intended to Cause Injury,2023,Taranaki Region,1
162,New Plymouth Central.,Acts Intended to Cause Injury,2023,Taranaki Region,1
163,Kaimata.,Acts Intended to Cause Injury,2023,Taranaki Region,1
164,Waitara West.,Acts Intended to Cause Injury,2023,Taranaki Region,1
165,Kahui.,Acts Intended to Cause Injury,2023,Taranaki Region,1
