,Area Unit,ANZSOC Division,Year,Region,Victimisations
170,Hokianga North.,"Robbery, Extortion and Related Offences",2023,Northland,2
171,Kerikeri.,Theft and Related Offences,2023,Northland,1
172,Kaitaia West.,Theft and Related Offences,2023,Northland,1
173,Marsden Point-Ruakaka.,Theft and Related Offences,2023,Northland,1
174,Whangarei Central.,Sexual Assault and Related Offences,2023,Northland,1
175,Tikipunga West.,Theft and Related Offences,2023,Northland,1
176,Kerikeri.,Sexual Assault and Related Offences,2023,Northland,1
177,Kaikohe.,Theft and Related Offences,2023,Northland,1
178,Springs Flat.,Theft and Related Offences,2023,Northland,1
179,Hokianga South.,Acts Intended to Cause Injury,2023,Northland,1
180,Kerikeri.,Theft and Related Offences,2023,Northland,1
181,Raumanga West.,Theft and Related Offences,2023,Northland,1
182,Kaikohe.,Acts Intended to Cause Injury,2023,Northland,1
183,Kaitaia East.,Acts Intended to Cause Injury,2023,Northland,1
184,Omapere and Opononi.,Theft and Related Offences,2023,Northland,1
185,Kaitaia East.,Theft and Related Offences,2023,Northland,1
186,Rehia-Oneriri.,Acts Intended to Cause Injury,2023,Northland,1
187,Maungatapere.,Acts Intended to Cause Injury,2023,Northland,1
188,Kaitaia West.,Acts Intended to Cause Injury,2023,Northland,1
189,Kerikeri.,Sexual Assault and Related Offences,2023,Northland,1
190,Kaitaia East.,Theft and Related Offences,2023,Northland,1
191,Kaikohe.,Theft and Related Offences,2023,Northland,1
192,Paihia.,Theft and Related Offences,2023,Northland,1
193,Mangapa-Matauri Bay.,Acts Intended to Cause Injury,2023,Northland,1
194,Kamo East.,Theft and Related Offences,2023,Northland,1
195,Kawakawa.,Theft and Related Offences,2023,Northland,1
196,Horahora.,Acts Intended to Cause Injury,2023,Northland,1
197,Vinetown.,Acts Intended to Cause Injury,2023,Northland,1
198,Mangawhai Heads.,Theft and Related Offences,2023,Northland,1
199,Rehia-Oneriri.,Theft and Related Offences,2023,Northland,1
200,Kawakawa.,Theft and Related Offences,2023,Northland,1
201,Dargaville.,"Robbery, Extortion and Related Offences",2023,Northland,1
