,Area Unit,ANZSOC Division,Year,Region,Victimisations
356,Maeroa.,Acts Intended to Cause Injury,2023,Waikato Region,1
357,Grandview.,Acts Intended to Cause Injury,2023,Waikato Region,1
358,Huntly East.,Theft and Related Offences,2023,Waikato Region,1
359,Swarbrick.,Theft and Related Offences,2023,Waikato Region,1
360,Hillcrest West.,Theft and Related Offences,2023,Waikato Region,1
361,Enderley.,Theft and Related Offences,2023,Waikato Region,1
362,University.,Theft and Related Offences,2023,Waikato Region,1
363,Te Rapa.,Theft and Related Offences,2023,Waikato Region,1
364,Hamilton Central.,Theft and Related Offences,2023,Waikato Region,1
365,Frankton Junction.,Theft and Related Offences,2023,Waikato Region,1
366,Swarbrick.,Theft and Related Offences,2023,Waikato Region,1
367,Swarbrick.,Theft and Related Offences,2023,Waikato Region,1
368,Huntly East.,Theft and Related Offences,2023,Waikato Region,1
369,Maramarua.,Theft and Related Offences,2023,Waikato Region,1
370,Hillcrest West.,Acts Intended to Cause Injury,2023,Waikato Region,1
371,Melville.,Acts Intended to Cause Injury,2023,Waikato Region,1
372,Swarbrick.,Acts Intended to Cause Injury,2023,Waikato Region,1
373,Melville.,Acts Intended to Cause Injury,2023,Waikato Region,1
374,Naylor.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
375,Claudelands.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
376,Chedworth.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
377,Insoll.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
378,Ngaruawahia.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
379,Queenwood.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Waikato Region,1
