,Area Unit,ANZSOC Division,Year,Region,Victimisations
129,Motueka East.,"Robbery, Extortion and Related Offences",2023,Tasman Region,1
130,Mapua.,"Robbery, Extortion and Related Offences",2023,Tasman Region,1
131,Richmond East.,Theft and Related Offences,2023,Tasman Region,3
132,Richmond West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
133,Takaka.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
134,Richmond East.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
135,Hope.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
136,Riwaka.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
137,Wakefield.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
138,Motueka East.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
139,Motueka Outer.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
140,Richmond East.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
141,Brightwater.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
142,Motueka West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
143,Richmond West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Tasman Region,1
144,Riwaka.,Theft and Related Offences,2023,Tasman Region,1
145,Richmond East.,"Robbery, Extortion and Related Offences",2023,Tasman Region,1
146,Motueka East.,"Robbery, Extortion and Related Offences",2023,Tasman Region,1
147,Richmond East.,"Robbery, Extortion and Related Offences",2023,Tasman Region,1
148,Best Island.,Acts Intended to Cause Injury,2023,Tasman Region,1
149,Rabbit Island.,Theft and Related Offences,2023,Tasman Region,1
150,Takaka.,Acts Intended to Cause Injury,2023,Tasman Region,1
151,Motueka East.,Theft and Related Offences,2023,Tasman Region,1
152,Motueka East.,Acts Intended to Cause Injury,2023,Tasman Region,1
153,Takaka.,Acts Intended to Cause Injury,2023,Tasman Region,1
154,Wai-Iti.,Theft and Related Offences,2023,Tasman Region,1
155,Wakefield.,Theft and Related Offences,2023,Tasman Region,1
156,Motueka West.,Theft and Related Offences,2023,Tasman Region,1
157,Motueka West.,Theft and Related Offences,2023,Tasman Region,1
158,Rabbit Island.,Acts Intended to Cause Injury,2023,Tasman Region,1
159,Richmond West.,Theft and Related Offences,2023,Tasman Region,1
160,Richmond East.,Theft and Related Offences,2023,Tasman Region,1
161,Richmond East.,Theft and Related Offences,2023,Tasman Region,1
