,Area Unit,ANZSOC Division,Year,Region,Victimisations
152,High St-Stuart St.,"Robbery, Extortion and Related Offences",2023,Otago Region,1
153,Stuart St-Frederick St.,"Robbery, Extortion and Related Offences",2023,Otago Region,1
154,Fernhill.,"Robbery, Extortion and Related Offences",2023,Otago Region,1
155,Waikouaiti.,"Robbery, Extortion and Related Offences",2023,Otago Region,1
156,Wanaka.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Otago Region,1
157,Wanaka.,Theft and Related Offences,2023,Otago Region,1
158,Queenstown Hill.,Theft and Related Offences,2023,Otago Region,1
159,Stuart St-Frederick St.,Theft and Related Offences,2023,Otago Region,1
160,Wakari.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Otago Region,1
161,Stuart St-Frederick St.,Theft and Related Offences,2023,Otago Region,1
162,Harbourside.,Theft and Related Offences,2023,Otago Region,1
163,Harbourside.,Theft and Related Offences,2023,Otago Region,1
164,Wanaka.,Theft and Related Offences,2023,Otago Region,1
165,Milton.,Theft and Related Offences,2023,Otago Region,1
166,Caversham.,Theft and Related Offences,2023,Otago Region,1
167,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
168,Bruce.,Acts Intended to Cause Injury,2023,Otago Region,1
169,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
170,Opoho.,Acts Intended to Cause Injury,2023,Otago Region,1
171,North Dunedin.,Acts Intended to Cause Injury,2023,Otago Region,1
172,Oamaru North.,Acts Intended to Cause Injury,2023,Otago Region,1
173,Stuart St-Frederick St.,Theft and Related Offences,2023,Otago Region,1
174,Dunstan.,Theft and Related Offences,2023,Otago Region,1
175,South Dunedin.,Theft and Related Offences,2023,Otago Region,1
176,Stuart St-Frederick St.,Theft and Related Offences,2023,Otago Region,1
177,Caledonian.,Theft and Related Offences,2023,Otago Region,1
178,Otago University.,Theft and Related Offences,2023,Otago Region,1
179,Evansdale.,Acts Intended to Cause Injury,2023,Otago Region,1
180,Otago University.,Acts Intended to Cause Injury,2023,Otago Region,1
181,Stuart St-Frederick St.,Acts Intended to Cause Injury,2023,Otago Region,1
182,Milton.,Acts Intended to Cause Injury,2023,Otago Region,1
183,Oamaru South.,Acts Intended to Cause Injury,2023,Otago Region,1
184,Alexandra.,Acts Intended to Cause Injury,2023,Otago Region,1
185,Caversham.,"Robbery, Extortion and Related Offences",2023,Otago Region,1
186,South Dunedin.,"Robbery, Extortion and Related Offences",2023,Otago Region,1
187,Bruce.,"Robbery, Extortion and Related Offences",2023,Otago Region,1
188,Musselburgh.,"Robbery, Extortion and Related Offences",2023,Otago Region,1
189,St Kilda West.,"Robbery, Extortion and Related Offences",2023,Otago Region,1
190,Clutha.,Theft and Related Offences,2023,Otago Region,1
191,Otago University.,Theft and Related Offences,2023,Otago Region,1
192,Fernhill.,Theft and Related Offences,2023,Otago Region,1
193,South Dunedin.,Theft and Related Offences,2023,Otago Region,1
194,Matukituki.,Theft and Related Offences,2023,Otago Region,1
