,Area Unit,ANZSOC Division,Year,Region,Victimisations
150,Cape Runaway.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
151,Murupara.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
152,Kawerau.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
153,Whakatane West.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
154,Allandale-Mokorua.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
155,Matata.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
156,Te Teko.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
157,Pukehangi North.,Theft and Related Offences,2023,Bay of Plenty Region,1
158,Arataki.,Theft and Related Offences,2023,Bay of Plenty Region,1
159,Welcome Bay East.,Theft and Related Offences,2023,Bay of Plenty Region,1
160,Welcome Bay East.,Theft and Related Offences,2023,Bay of Plenty Region,1
161,Kaimai.,Theft and Related Offences,2023,Bay of Plenty Region,1
162,Omokoroa.,Theft and Related Offences,2023,Bay of Plenty Region,1
163,Omokoroa.,Theft and Related Offences,2023,Bay of Plenty Region,1
164,Arataki.,Theft and Related Offences,2023,Bay of Plenty Region,1
165,Whakatane North.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
166,Otakiri.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
167,Western Heights.,Theft and Related Offences,2023,Bay of Plenty Region,1
168,Springfield.,Theft and Related Offences,2023,Bay of Plenty Region,1
169,Victoria.,Theft and Related Offences,2023,Bay of Plenty Region,1
170,Kuirau.,Theft and Related Offences,2023,Bay of Plenty Region,1
171,Kawerau.,Theft and Related Offences,2023,Bay of Plenty Region,1
172,Opotiki.,Theft and Related Offences,2023,Bay of Plenty Region,1
173,Whakatane North.,Theft and Related Offences,2023,Bay of Plenty Region,1
174,Whakatane North.,Theft and Related Offences,2023,Bay of Plenty Region,1
175,Matahina-Minginui.,Theft and Related Offences,2023,Bay of Plenty Region,1
176,Allandale-Mokorua.,Theft and Related Offences,2023,Bay of Plenty Region,1
177,Urewera.,Theft and Related Offences,2023,Bay of Plenty Region,1
178,Murupara.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
179,Whakatane North.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
180,Trident.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
181,Kawerau.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
182,Kawerau.,Theft and Related Offences,2023,Bay of Plenty Region,1
183,Whakatane North.,Theft and Related Offences,2023,Bay of Plenty Region,1
184,Opotiki.,Theft and Related Offences,2023,Bay of Plenty Region,1
185,Whakatane North.,Theft and Related Offences,2023,Bay of Plenty Region,1
186,Whakatane West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
187,Kawerau.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
188,Victoria.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,1
189,Koutu.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,1
190,Victoria.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,1
191,Te Puke West.,Sexual Assault and Related Offences,2023,Bay of Plenty Region,1
192,Omokoroa.,Sexual Assault and Related Offences,2023,Bay of Plenty Region,1
193,Waihi Beach.,Sexual Assault and Related Offences,2023,Bay of Plenty Region,1
194,Matakana Island.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,2
195,Matakana Island.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
196,Otakiri.,Theft and Related Offences,2023,Bay of Plenty Region,1
197,Allandale-Mokorua.,Theft and Related Offences,2023,Bay of Plenty Region,1
198,Bethlehem East.,Theft and Related Offences,2023,Bay of Plenty Region,1
199,Bethlehem.,Theft and Related Offences,2023,Bay of Plenty Region,1
200,Doncaster.,Theft and Related Offences,2023,Bay of Plenty Region,1
201,Mt Maunganui North.,Theft and Related Offences,2023,Bay of Plenty Region,1
202,Mt Maunganui North.,Theft and Related Offences,2023,Bay of Plenty Region,1
203,Otumoetai North.,Theft and Related Offences,2023,Bay of Plenty Region,1
204,Pyes Pa.,Theft and Related Offences,2023,Bay of Plenty Region,1
205,Opotiki.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
206,Opotiki.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
207,Waiotahi.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
208,Allandale-Mokorua.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,2
209,Allandale-Mokorua.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
210,Matata.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
211,Mangakakahi.,Theft and Related Offences,2023,Bay of Plenty Region,1
212,Greerton.,Theft and Related Offences,2023,Bay of Plenty Region,1
213,Pukehangi South.,Theft and Related Offences,2023,Bay of Plenty Region,1
214,Kuirau.,Theft and Related Offences,2023,Bay of Plenty Region,1
215,Allandale-Mokorua.,Theft and Related Offences,2023,Bay of Plenty Region,1
216,Allandale-Mokorua.,Theft and Related Offences,2023,Bay of Plenty Region,1
217,Opotiki.,Theft and Related Offences,2023,Bay of Plenty Region,1
218,Allandale-Mokorua.,Theft and Related Offences,2023,Bay of Plenty Region,1
219,Whakatane North.,Theft and Related Offences,2023,Bay of Plenty Region,1
220,Whakatane North.,Theft and Related Offences,2023,Bay of Plenty Region,1
221,Whakatane North.,Theft and Related Offences,2023,Bay of Plenty Region,1
222,Trident.,Theft and Related Offences,2023,Bay of Plenty Region,1
223,Edgecumbe.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
224,Whakatane North.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
225,Whakatane West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
226,Whakatane North.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
227,Kawerau.,Theft and Related Offences,2023,Bay of Plenty Region,1
228,Waiotahi.,Theft and Related Offences,2023,Bay of Plenty Region,1
229,Murupara.,Theft and Related Offences,2023,Bay of Plenty Region,1
230,Kawerau.,Theft and Related Offences,2023,Bay of Plenty Region,1
231,Allandale-Mokorua.,Theft and Related Offences,2023,Bay of Plenty Region,1
232,Trident.,Theft and Related Offences,2023,Bay of Plenty Region,1
233,Opotiki.,Theft and Related Offences,2023,Bay of Plenty Region,1
234,Allandale-Mokorua.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
235,Waiotahi.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
236,Trident.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
237,Trident.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
238,Urewera.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
239,Opotiki.,Acts Intended to Cause Injury,2023,Bay of Plenty Region,1
240,Ohope.,Theft and Related Offences,2023,Bay of Plenty Region,1
241,Whakatane North.,Theft and Related Offences,2023,Bay of Plenty Region,1
242,Hillcrest.,Theft and Related Offences,2023,Bay of Plenty Region,1
243,Victoria.,Theft and Related Offences,2023,Bay of Plenty Region,1
244,Whakatane West.,Theft and Related Offences,2023,Bay of Plenty Region,1
245,Mt Maunganui North.,"Abduction, Harassment and Other Related Offences Against a Person",2023,Bay of Plenty Region,1
246,Brookfield.,Theft and Related Offences,2023,Bay of Plenty Region,1
247,Otakiri.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
248,Whakatane North.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
249,Coastlands.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
250,Matata.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
251,Whakatane West.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
252,Kawerau.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
253,Opotiki.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
254,Allandale-Mokorua.,Theft and Related Offences,2023,Bay of Plenty Region,1
255,Trident.,Theft and Related Offences,2023,Bay of Plenty Region,1
256,Coastlands.,Theft and Related Offences,2023,Bay of Plenty Region,1
257,Trident.,Theft and Related Offences,2023,Bay of Plenty Region,1
258,Opotiki.,Theft and Related Offences,2023,Bay of Plenty Region,1
259,Otakiri.,Theft and Related Offences,2023,Bay of Plenty Region,1
260,Matahina-Minginui.,Theft and Related Offences,2023,Bay of Plenty Region,1
261,Edgecumbe.,Theft and Related Offences,2023,Bay of Plenty Region,1
262,Allandale-Mokorua.,Theft and Related Offences,2023,Bay of Plenty Region,1
263,Allandale-Mokorua.,Theft and Related Offences,2023,Bay of Plenty Region,1
264,Allandale-Mokorua.,Theft and Related Offences,2023,Bay of Plenty Region,1
265,Inland Water-Lake Rotorua.,Theft and Related Offences,2023,Bay of Plenty Region,1
266,Tikitere.,Theft and Related Offences,2023,Bay of Plenty Region,1
267,Maraetotara.,Theft and Related Offences,2023,Bay of Plenty Region,1
268,Mt Maunganui North.,Theft and Related Offences,2023,Bay of Plenty Region,1
269,Trident.,Theft and Related Offences,2023,Bay of Plenty Region,1
270,Kawerau.,Theft and Related Offences,2023,Bay of Plenty Region,1
271,Kawerau.,Theft and Related Offences,2023,Bay of Plenty Region,1
272,Kawerau.,Theft and Related Offences,2023,Bay of Plenty Region,1
273,Kawerau.,Theft and Related Offences,2023,Bay of Plenty Region,1
274,Kawerau.,Theft and Related Offences,2023,Bay of Plenty Region,1
275,Allandale-Mokorua.,Theft and Related Offences,2023,Bay of Plenty Region,1
276,Matata.,Theft and Related Offences,2023,Bay of Plenty Region,1
277,Murupara.,Theft and Related Offences,2023,Bay of Plenty Region,1
278,Kaimai.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,1
279,Te Puke East.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,1
280,Te Maunga.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,2
281,Matua.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,1
282,Otumoetai North.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,1
283,Tauranga Hospital.,"Robbery, Extortion and Related Offences",2023,Bay of Plenty Region,2
284,Tauranga Central.,Theft and Related Offences,2023,Bay of Plenty Region,1
285,Yatton Park.,Theft and Related Offences,2023,Bay of Plenty Region,1
286,Aongatete.,Theft and Related Offences,2023,Bay of Plenty Region,1
287,Bethlehem.,Theft and Related Offences,2023,Bay of Plenty Region,1
288,Matua.,Theft and Related Offences,2023,Bay of Plenty Region,1
289,Maungatapu.,Theft and Related Offences,2023,Bay of Plenty Region,1
290,Mt Maunganui North.,Theft and Related Offences,2023,Bay of Plenty Region,1
291,Kuirau.,Theft and Related Offences,2023,Bay of Plenty Region,1
292,Utuhina.,Theft and Related Offences,2023,Bay of Plenty Region,1
293,Hillcrest.,Theft and Related Offences,2023,Bay of Plenty Region,1
294,Springfield.,Theft and Related Offences,2023,Bay of Plenty Region,1
295,Western Heights.,Theft and Related Offences,2023,Bay of Plenty Region,1
296,Kuirau.,Theft and Related Offences,2023,Bay of Plenty Region,1
297,Koutu.,Theft and Related Offences,2023,Bay of Plenty Region,1
298,Owhata West.,Theft and Related Offences,2023,Bay of Plenty Region,1
299,Mt Maunganui North.,Sexual Assault and Related Offences,2023,Bay of Plenty Region,1
300,Tauranga Central.,Sexual Assault and Related Offences,2023,Bay of Plenty Region,1
301,Island View-Pios Beach.,Sexual Assault and Related Offences,2023,Bay of Plenty Region,1
302,Greerton.,Sexual Assault and Related Offences,2023,Bay of Plenty Region,1
303,Palm Beach.,Sexual Assault and Related Offences,2023,Bay of Plenty Region,1
304,Minden.,Sexual Assault and Related Offences,2023,Bay of Plenty Region,1
305,Matahina-Minginui.,Theft and Related Offences,2023,Bay of Plenty Region,1
306,Rotoma.,Theft and Related Offences,2023,Bay of Plenty Region,1
307,Allandale-Mokorua.,Theft and Related Offences,2023,Bay of Plenty Region,1
308,Allandale-Mokorua.,Theft and Related Offences,2023,Bay of Plenty Region,1
309,Rotoma.,Theft and Related Offences,2023,Bay of Plenty Region,1
310,Orini.,Theft and Related Offences,2023,Bay of Plenty Region,1
311,Allandale-Mokorua.,Theft and Related Offences,2023,Bay of Plenty Region,1
312,Rotoma.,Theft and Related Offences,2023,Bay of Plenty Region,1
313,Rotoma.,Theft and Related Offences,2023,Bay of Plenty Region,1
314,Taneatua.,Theft and Related Offences,2023,Bay of Plenty Region,1
315,Taneatua.,Theft and Related Offences,2023,Bay of Plenty Region,1
316,Trident.,Theft and Related Offences,2023,Bay of Plenty Region,1
317,Edgecumbe.,Theft and Related Offences,2023,Bay of Plenty Region,1
318,Trident.,Theft and Related Offences,2023,Bay of Plenty Region,1
319,Trident.,Theft and Related Offences,2023,Bay of Plenty Region,1
320,Urewera.,Theft and Related Offences,2023,Bay of Plenty Region,1
321,Waimana.,Theft and Related Offences,2023,Bay of Plenty Region,1
322,Opotiki.,Theft and Related Offences,2023,Bay of Plenty Region,1
323,Opotiki.,Theft and Related Offences,2023,Bay of Plenty Region,1
324,Edgecumbe.,Theft and Related Offences,2023,Bay of Plenty Region,1
325,Trident.,Theft and Related Offences,2023,Bay of Plenty Region,1
326,Whakatane North.,Theft and Related Offences,2023,Bay of Plenty Region,1
327,Allandale-Mokorua.,Theft and Related Offences,2023,Bay of Plenty Region,1
328,Allandale-Mokorua.,Theft and Related Offences,2023,Bay of Plenty Region,1
329,Glenholme East.,Theft and Related Offences,2023,Bay of Plenty Region,1
330,Fenton.,Theft and Related Offences,2023,Bay of Plenty Region,1
331,Victoria.,Theft and Related Offences,2023,Bay of Plenty Region,1
332,Kuirau.,Theft and Related Offences,2023,Bay of Plenty Region,1
333,Victoria.,Theft and Related Offences,2023,Bay of Plenty Region,1
334,Glenholme West.,Theft and Related Offences,2023,Bay of Plenty Region,1
335,Victoria.,Theft and Related Offences,2023,Bay of Plenty Region,1
336,Kuirau.,Theft and Related Offences,2023,Bay of Plenty Region,1
337,Omanu.,Sexual Assault and Related Offences,2023,Bay of Plenty Region,1
338,Bellevue.,Sexual Assault and Related Offences,2023,Bay of Plenty Region,1
339,Tauranga Hospital.,Sexual Assault and Related Offences,2023,Bay of Plenty Region,1
340,Te Puke East.,Sexual Assault and Related Offences,2023,Bay of Plenty Region,1
341,Tauranga Central.,Sexual Assault and Related Offences,2023,Bay of Plenty Region,1
342,Kuirau.,Sexual Assault and Related Offences,2023,Bay of Plenty Region,1
343,Kuirau.,Sexual Assault and Related Offences,2023,Bay of Plenty Region,1
344,Opotiki.,Theft and Related Offences,2023,Bay of Plenty Region,1
345,Kawerau.,Theft and Related Offences,2023,Bay of Plenty Region,1
346,Kawerau.,Theft and Related Offences,2023,Bay of Plenty Region,1
347,Opotiki.,Theft and Related Offences,2023,Bay of Plenty Region,1
348,Opotiki.,Theft and Related Offences,2023,Bay of Plenty Region,1
349,Trident.,Theft and Related Offences,2023,Bay of Plenty Region,1
350,Opotiki.,Theft and Related Offences,2023,Bay of Plenty Region,1
351,Coastlands.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
352,Whakatane North.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
353,Whakatane North.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
354,Matahina-Minginui.,"Unlawful Entry With Intent/Burglary, Break and Enter",2023,Bay of Plenty Region,1
